City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Hilo,US,86.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
14,Dingle,PH,76.08,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
15,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
23,Assiniboia,CA,80.42,scattered clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
29,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
32,San Andres,CO,80.62,light intensity drizzle,12.5847,-81.7006,Hotel Arena Blanca
35,Dabeiba,CO,78.3,heavy intensity rain,7.0017,-76.2672,Hotel Cactus
37,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
38,Jamestown,US,86.05,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
45,La Asuncion,VE,85.73,clear sky,11.0333,-63.8628,Colinas de Matasiete
46,Ullal,IN,77.95,broken clouds,12.8,74.85,AK INTERNATIONAL LODGE
47,Andijon,UZ,87.08,clear sky,40.7821,72.3442,"Hotel ""Bog'ishamol"""
49,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
50,Hambantota,LK,78.78,overcast clouds,6.1241,81.1185,Bungalow 63
51,Salur,IN,80.01,light rain,18.5333,83.2167,SATYAM NAIDU FARM HOUSE ( సత్యం నాయుడు వ్యవసాయ క్షేత్రం )
52,Thunder Bay,CA,84.11,scattered clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
53,Tual,ID,77.54,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
55,Atuona,PF,77.47,clear sky,-9.8,-139.0333,Villa Enata
58,Guerrero Negro,MX,77.04,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
59,Manggar,ID,79.97,overcast clouds,-2.8833,108.2667,Guest Hotel
60,Araguacu,BR,84.18,clear sky,-12.9306,-49.8264,Hotel Tocantins
67,Iberia,US,89.98,clear sky,29.9502,-91.7507,back to back rv park
68,Floresta,BR,76.21,scattered clouds,-8.6011,-38.5686,Hotel Floresta
69,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
71,Koflach,AT,77.79,few clouds,47.0667,15.0833,Hotel & Therme NOVA Köflach
77,Himberg,AT,84.38,clear sky,48.0644,16.448,Hotel Radlinger
87,Aksu,CN,80.85,clear sky,41.1231,80.2644,Pudong Holiday Hotel
91,Kirakira,SB,79.9,broken clouds,-10.4544,161.9205,SanBiz Lodge
103,Puerto Escondido,MX,85.42,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
110,Butaritari,KI,80.67,light rain,3.0707,172.7902,Isles Sunset Lodge
117,Katsuura,JP,78.3,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
122,Tura,IN,75.31,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
123,Narasannapeta,IN,80.8,light rain,18.4167,84.05,AVK events and catering
124,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
125,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
128,Victoria,HK,87.19,broken clouds,22.2855,114.1577,Mini Central
129,Auki,SB,78.93,clear sky,-8.7676,160.7034,Auki Motel
132,Hithadhoo,MV,81.72,overcast clouds,-0.6,73.0833,Scoop Guest House
133,Alappuzha,IN,78.01,light rain,9.49,76.3264,Panoramic Sea Resort
137,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
138,Sao Filipe,CV,75.42,overcast clouds,14.8961,-24.4956,Hotel Xaguate
139,Sibolga,ID,75.06,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
142,Cayenne,GF,85.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
151,Norman Wells,CA,75.24,broken clouds,65.282,-126.8329,Heritage Hotel
156,Bogale,MM,75.87,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
157,Portobelo,PA,77.74,overcast clouds,9.55,-79.65,Scuba Portobelo
158,Ribeira Grande,PT,75.6,light rain,38.5167,-28.7,Quinta da Meia Eira
159,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
161,Termiz,UZ,84.29,clear sky,37.2242,67.2783,Hotel Sharq
164,Darnah,LY,77.7,clear sky,32.767,22.6367,فندق الفردوس
170,Korla,CN,80.98,clear sky,41.7597,86.1469,Gulisitan Hotel
172,Touros,BR,76.23,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
173,Kerema,PG,76.06,scattered clouds,-7.9631,145.7785,Frena Lodge
179,Faanui,PF,78.28,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
181,Minot,US,86.22,clear sky,48.2325,-101.2963,Noble Inn
182,Manjeshwar,IN,77.95,overcast clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
183,Mexico,PH,82.11,few clouds,15.0646,120.7198,stone place
184,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
189,Coahuayana,MX,89.49,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
194,Acapulco,MX,85.48,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
196,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
199,Road Town,VG,87.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
204,Lompoc,US,88.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
206,San Lorenzo,PY,86.94,clear sky,-25.3333,-57.5333,Canarias Hotel
208,Isangel,VU,77.25,heavy intensity rain,-19.55,169.2667,Tanna Lodge
210,Santa Cruz,BO,84.25,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
211,Serra,BR,76.46,few clouds,-20.1286,-40.3078,Interior do Estado do Espirito Santo
212,Cururupu,BR,76.95,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
214,Ferme-Neuve,CA,80.82,overcast clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
218,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
219,Mao,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
222,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
226,Salyan,AZ,77.23,clear sky,39.5936,48.9805,Kür
227,Sarankhola,BD,80.02,light rain,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
