,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mildura,AU,-34.2,142.15,52.07,80,100,9.73,light rain
1,Mataura,NZ,-46.1927,168.8643,33.48,96,15,2.91,few clouds
2,Mayumba,GA,-3.432,10.6554,68.63,89,74,7.18,broken clouds
3,Puerto Madryn,AR,-42.7692,-65.0385,42.69,36,100,1.01,overcast clouds
4,Shymkent,KZ,42.3,69.6,91.99,14,0,17.9,clear sky
5,Bethel,US,41.3712,-73.414,95.02,45,0,12.66,clear sky
6,Rikitea,PF,-23.1203,-134.9692,72.37,75,100,9.82,overcast clouds
7,Yellowknife,CA,62.456,-114.3525,68.52,45,20,11.5,few clouds
8,Barrow,US,71.2906,-156.7887,39.22,93,100,10.36,mist
9,Gawler,AU,-34.6,138.7333,58.21,76,98,6.91,overcast clouds
10,Saskylakh,RU,71.9167,114.0833,50.0,64,95,7.87,overcast clouds
11,Andenes,NO,69.3143,16.1194,52.93,93,75,17.27,light intensity drizzle
12,Hilo,US,19.7297,-155.09,86.29,87,100,8.05,overcast clouds
13,Airai,TL,-8.9266,125.4092,51.57,78,99,2.98,overcast clouds
14,Dingle,PH,10.9995,122.6711,76.08,92,83,4.23,broken clouds
15,Vaini,TO,-21.2,-175.2,75.36,88,40,8.05,scattered clouds
16,Ushuaia,AR,-54.8,-68.3,35.26,93,100,17.27,light rain
17,Shitkino,RU,56.3703,98.3543,56.46,96,100,1.95,overcast clouds
18,Lodja,CD,-3.4833,23.4333,78.85,45,100,2.55,overcast clouds
19,Busselton,AU,-33.65,115.3333,59.59,79,55,18.57,broken clouds
20,Dikson,RU,73.5069,80.5464,51.19,79,80,13.8,broken clouds
21,Chicama,PE,-7.8447,-79.1469,63.14,63,5,8.75,clear sky
22,Port Elizabeth,ZA,-33.918,25.5701,59.31,76,0,9.22,clear sky
23,Assiniboia,CA,49.6334,-105.9845,80.42,32,44,12.66,scattered clouds
24,Clyde River,CA,70.4692,-68.5914,55.63,62,75,12.66,broken clouds
25,Thompson,CA,55.7435,-97.8558,57.36,82,100,5.75,overcast clouds
26,Moose Factory,CA,51.2585,-80.6094,69.78,78,40,8.05,scattered clouds
27,Francistown,BW,-21.17,27.5079,60.03,52,56,7.72,broken clouds
28,Maksatikha,RU,57.797,35.8825,60.04,84,10,1.77,clear sky
29,Avarua,CK,-21.2078,-159.775,77.05,83,20,8.05,few clouds
30,Omsukchan,RU,62.5333,155.8,55.54,43,61,4.05,broken clouds
31,Bluff,NZ,-46.6,168.3333,33.8,85,10,7.27,clear sky
32,San Andres,CO,12.5847,-81.7006,80.62,89,75,6.91,light intensity drizzle
33,Qingdao,CN,36.0986,120.3719,74.8,100,40,6.71,heavy intensity rain
34,Hermanus,ZA,-34.4187,19.2345,55.8,88,100,13.51,light rain
35,Dabeiba,CO,7.0017,-76.2672,78.3,93,97,3.53,heavy intensity rain
36,Lebu,CL,-37.6167,-73.65,53.6,96,100,12.01,overcast clouds
37,San Cristobal,VE,7.7669,-72.225,80.78,58,64,5.91,broken clouds
38,Jamestown,US,42.097,-79.2353,86.05,46,20,14.97,few clouds
39,Bonavista,CA,48.6499,-53.1147,64.94,72,45,15.86,scattered clouds
40,Jumla,NP,29.2747,82.1838,63.21,97,100,1.16,overcast clouds
41,Najran,SA,17.4924,44.1277,92.05,35,100,5.95,overcast clouds
42,East London,ZA,-33.0153,27.9116,68.29,39,11,7.25,few clouds
43,Cape Town,ZA,-33.9258,18.4232,59.38,85,75,8.05,moderate rain
44,Severo-Kurilsk,RU,50.6789,156.125,55.08,94,31,6.29,scattered clouds
45,La Asuncion,VE,11.0333,-63.8628,85.73,70,0,21.85,clear sky
46,Ullal,IN,12.8,74.85,77.95,88,75,0.0,broken clouds
47,Andijon,UZ,40.7821,72.3442,87.08,13,0,6.8,clear sky
48,Kununurra,AU,-15.7667,128.7333,51.78,82,41,3.44,scattered clouds
49,Georgetown,MY,5.4112,100.3354,78.73,96,20,0.0,few clouds
50,Hambantota,LK,6.1241,81.1185,78.78,83,98,18.43,overcast clouds
51,Salur,IN,18.5333,83.2167,80.01,86,100,2.15,light rain
52,Thunder Bay,CA,48.4001,-89.3168,84.11,32,40,17.27,scattered clouds
53,Tual,ID,-5.6667,132.75,77.54,76,100,15.03,overcast clouds
54,Aklavik,CA,68.2191,-135.0107,73.4,53,75,3.44,shower rain
55,Atuona,PF,-9.8,-139.0333,77.47,77,6,14.16,clear sky
56,Hobart,AU,-42.8794,147.3294,51.26,85,75,3.44,broken clouds
57,Saint-Philippe,RE,-21.3585,55.7679,65.21,84,43,14.36,light rain
58,Guerrero Negro,MX,27.9769,-114.0611,77.04,55,26,19.91,scattered clouds
59,Manggar,ID,-2.8833,108.2667,79.97,80,95,5.95,overcast clouds
60,Araguacu,BR,-12.9306,-49.8264,84.18,28,0,4.07,clear sky
61,Luanda,AO,-8.8368,13.2343,67.32,91,81,5.44,broken clouds
62,Tuktoyaktuk,CA,69.4541,-133.0374,71.6,56,75,9.22,broken clouds
63,Gien,FR,47.6933,2.6309,71.44,73,89,7.38,overcast clouds
64,Novosheshminsk,RU,55.0651,51.2338,61.81,76,1,4.03,clear sky
65,Pevek,RU,69.7008,170.3133,32.49,89,100,3.87,overcast clouds
66,Albany,US,42.6001,-73.9662,91.06,49,36,12.06,scattered clouds
67,Iberia,US,29.9502,-91.7507,89.98,65,0,3.44,clear sky
68,Floresta,BR,-8.6011,-38.5686,76.21,63,39,17.72,scattered clouds
69,Salalah,OM,17.0151,54.0924,77.09,94,75,4.61,broken clouds
70,Nikolskoye,RU,59.7035,30.7861,71.49,72,17,6.33,few clouds
71,Koflach,AT,47.0667,15.0833,77.79,71,11,4.25,few clouds
72,Khatanga,RU,71.9667,102.5,43.38,89,100,15.32,overcast clouds
73,Vardo,NO,70.3705,31.1107,49.98,93,40,2.3,scattered clouds
74,Imeni Poliny Osipenko,RU,52.4201,136.4853,56.95,88,98,7.11,overcast clouds
75,Prince Rupert,CA,54.3161,-130.3201,59.09,79,100,12.66,overcast clouds
76,Mar Del Plata,AR,-38.0023,-57.5575,51.82,74,0,8.05,clear sky
77,Himberg,AT,48.0644,16.448,84.38,54,0,5.75,clear sky
78,Port Alfred,ZA,-33.5906,26.891,63.5,64,100,10.0,overcast clouds
79,Provideniya,RU,64.3833,-173.3,48.02,65,63,9.19,broken clouds
80,Biggar,GB,55.6167,-3.5167,58.55,96,100,2.1,overcast clouds
81,Carnarvon,AU,-24.8667,113.6333,62.44,66,0,11.14,clear sky
82,Nongan,CN,44.382,125.1685,66.83,89,3,4.23,clear sky
83,Kodiak,US,57.79,-152.4072,58.51,47,100,4.61,overcast clouds
84,Byron Bay,AU,-28.65,153.6167,57.94,83,100,22.19,light rain
85,Margate,GB,51.3813,1.3862,64.31,80,65,3.0,broken clouds
86,Haukipudas,FI,65.1765,25.3523,62.65,85,100,6.82,overcast clouds
87,Aksu,CN,41.1231,80.2644,80.85,23,0,2.01,clear sky
88,Alofi,NU,-19.0595,-169.9187,73.29,94,40,2.3,scattered clouds
89,Poya,NC,-21.35,165.15,76.12,87,88,7.67,overcast clouds
90,Michigan City,US,41.7075,-86.895,90.01,40,0,5.75,clear sky
91,Kirakira,SB,-10.4544,161.9205,79.9,78,60,2.77,broken clouds
92,New Norfolk,AU,-42.7826,147.0587,50.92,86,100,2.3,light rain
93,Thinadhoo,MV,0.5333,72.9333,80.29,78,100,8.41,overcast clouds
94,Iqaluit,CA,63.7506,-68.5145,53.33,71,75,3.44,broken clouds
95,Torrington,US,41.8007,-73.1212,93.69,47,77,1.01,broken clouds
96,Waipawa,NZ,-41.4122,175.5153,43.45,75,100,2.86,overcast clouds
97,Ilhabela,BR,-23.7781,-45.3581,68.38,84,3,4.74,clear sky
98,Kruisfontein,ZA,-34.0033,24.7314,50.88,76,100,5.79,overcast clouds
99,Meridian,US,43.6121,-116.3915,95.4,17,0,11.5,clear sky
100,Senanga,ZM,-16.1167,23.2667,65.12,36,64,6.38,broken clouds
101,Novoagansk,RU,61.9449,76.6625,46.9,77,100,11.12,overcast clouds
102,Alice Springs,AU,-23.7,133.8833,44.15,53,0,0.0,clear sky
103,Puerto Escondido,MX,15.85,-97.0667,85.42,68,100,6.04,overcast clouds
104,Punta Arenas,CL,-53.15,-70.9167,39.31,70,0,13.8,clear sky
105,Fairbanks,US,64.8378,-147.7164,59.09,73,40,6.91,scattered clouds
106,Bredasdorp,ZA,-34.5322,20.0403,55.27,86,100,10.04,light rain
107,Viesca,MX,25.35,-102.8,92.39,26,98,2.75,overcast clouds
108,Englewood,US,39.6478,-104.9878,99.34,18,40,11.5,scattered clouds
109,Erzurum,TR,40.0,41.5,58.68,82,0,5.97,clear sky
110,Butaritari,KI,3.0707,172.7902,80.67,79,21,8.61,light rain
111,Ambulu,ID,-8.345,113.6058,72.03,89,37,2.71,scattered clouds
112,Aykhal,RU,66.0,111.5,56.89,82,3,2.98,clear sky
113,Havre-Saint-Pierre,CA,50.2334,-63.5986,68.36,88,75,9.22,broken clouds
114,Nandi,IN,13.3855,77.6984,69.4,87,100,10.47,overcast clouds
115,Kajaani,FI,64.2273,27.7285,62.65,67,0,6.91,clear sky
116,Qaanaaq,GL,77.484,-69.3632,40.05,92,100,7.29,light rain
117,Katsuura,JP,35.1333,140.3,78.3,84,0,18.68,clear sky
118,Sobradinho,BR,-12.8333,-39.1,68.36,89,51,4.41,broken clouds
119,Boende,CD,-0.2167,20.8667,70.99,96,100,3.02,overcast clouds
120,Poum,NC,-20.2333,164.0167,77.2,84,97,19.42,overcast clouds
121,West Wendover,US,40.7391,-114.0733,96.01,13,0,9.22,clear sky
122,Tura,IN,25.5198,90.2201,75.31,92,98,2.93,overcast clouds
123,Narasannapeta,IN,18.4167,84.05,80.8,87,100,1.1,light rain
124,Puerto Ayora,EC,-0.7393,-90.3518,80.56,85,49,8.01,scattered clouds
125,Komsomolskiy,UZ,40.4272,71.7189,81.32,34,0,6.91,clear sky
126,Valparaiso,CL,-33.0393,-71.6273,58.64,82,0,12.66,haze
127,Yablonovo,RU,50.8523,37.3574,56.12,95,26,10.51,scattered clouds
128,Victoria,HK,22.2855,114.1577,87.19,81,68,5.01,broken clouds
129,Auki,SB,-8.7676,160.7034,78.93,78,2,3.69,clear sky
130,Castro,BR,-24.7911,-50.0119,61.99,67,68,3.6,broken clouds
131,Acari,PE,-15.4311,-74.6158,69.82,61,12,7.81,few clouds
132,Hithadhoo,MV,-0.6,73.0833,81.72,73,100,7.78,overcast clouds
133,Alappuzha,IN,9.49,76.3264,78.01,88,100,8.1,light rain
134,Chuy,UY,-33.6971,-53.4616,55.26,97,87,4.88,overcast clouds
135,Leningradskiy,RU,69.3833,178.4167,35.92,88,96,8.03,overcast clouds
136,Choma,ZM,-16.8065,26.9531,55.47,68,3,5.44,clear sky
137,Kahului,US,20.8947,-156.47,86.02,61,20,25.32,few clouds
138,Sao Filipe,CV,14.8961,-24.4956,75.42,80,85,4.09,overcast clouds
139,Sibolga,ID,1.7427,98.7792,75.06,89,100,4.0,overcast clouds
140,Mwene-Ditu,CD,-7.0,23.45,73.09,40,5,4.99,clear sky
141,Cidreira,BR,-30.1811,-50.2056,63.1,94,97,2.3,overcast clouds
142,Cayenne,GF,4.9333,-52.3333,85.08,10,0,4.61,clear sky
143,Taksimo,RU,56.3444,114.8794,65.14,90,79,1.25,broken clouds
144,Hoquiam,US,46.9809,-123.8893,65.35,82,100,9.22,overcast clouds
145,Upernavik,GL,72.7868,-56.1549,42.42,94,100,21.14,overcast clouds
146,Broken Hill,AU,-31.95,141.4333,54.82,69,99,9.33,overcast clouds
147,Krasnoselkup,RU,65.7,82.4667,49.82,93,86,11.21,overcast clouds
148,Faya,SA,18.3851,42.4509,69.91,45,89,3.74,overcast clouds
149,Ostrovnoy,RU,68.0531,39.5131,51.75,90,100,18.1,overcast clouds
150,Saint George,US,37.1041,-113.5841,110.62,12,0,11.01,clear sky
151,Norman Wells,CA,65.282,-126.8329,75.24,41,75,9.22,broken clouds
152,Labuhan,ID,-6.8844,112.2051,74.84,85,52,7.07,broken clouds
153,Jacareacanga,BR,-6.2222,-57.7528,91.04,38,53,3.09,broken clouds
154,Reyes,BO,-14.3167,-67.3833,86.16,58,40,9.22,scattered clouds
155,Namibe,AO,-15.1961,12.1522,62.29,87,7,1.45,clear sky
156,Bogale,MM,16.2833,95.4,75.87,91,100,4.14,overcast clouds
157,Portobelo,PA,9.55,-79.65,77.74,81,100,4.36,overcast clouds
158,Ribeira Grande,PT,38.5167,-28.7,75.6,88,40,8.05,light rain
159,Kapaa,US,22.0752,-159.319,82.72,70,40,11.5,scattered clouds
160,Zhigansk,RU,66.7697,123.3711,53.56,92,100,5.41,light rain
161,Termiz,UZ,37.2242,67.2783,84.29,28,0,4.61,clear sky
162,Mykolayiv,UA,46.9659,31.9974,69.64,50,34,7.11,scattered clouds
163,Constitucion,CL,-35.3333,-72.4167,57.25,86,16,9.19,few clouds
164,Darnah,LY,32.767,22.6367,77.7,70,0,13.47,clear sky
165,Tazovskiy,RU,67.4667,78.7,45.27,96,100,9.22,light rain
166,Narsaq,GL,60.9167,-46.05,62.82,64,56,5.39,broken clouds
167,Tasiilaq,GL,65.6145,-37.6368,39.36,70,34,7.9,scattered clouds
168,Deputatskiy,RU,69.3,139.9,50.2,50,96,5.99,overcast clouds
169,Brodokalmak,RU,55.5748,62.082,61.7,72,85,8.7,overcast clouds
