City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-07-18 23:07:56,-53.15,-70.9167,39.31,87,75,31.07
1,Wawa,NG,2022-07-18 23:07:57,9.9022,4.4192,73.4,85,85,5.01
2,Constitucion,CL,2022-07-18 23:07:57,-35.3333,-72.4167,49.8,90,92,8.75
3,Salalah,OM,2022-07-18 23:07:57,17.0151,54.0924,77.09,94,100,4.61
4,Saint-Philippe,RE,2022-07-18 23:04:02,-21.3585,55.7679,67.59,79,62,18.57
5,Tiksi,RU,2022-07-18 23:07:58,71.6872,128.8694,34.83,89,100,18.72
6,Dikson,RU,2022-07-18 23:04:29,73.5069,80.5464,43.38,82,98,13.6
7,Talnakh,RU,2022-07-18 23:07:59,69.4865,88.3972,61.21,56,92,2.01
8,Rikitea,PF,2022-07-18 23:07:49,-23.1203,-134.9692,74.66,75,14,11.39
9,Mahebourg,MU,2022-07-18 23:07:59,-20.4081,57.7,69.26,66,63,23.11
10,Ushuaia,AR,2022-07-18 23:07:39,-54.8,-68.3,37.06,93,75,21.85
11,Victoria,HK,2022-07-18 23:07:43,22.2855,114.1577,88.18,84,100,8.99
12,Paamiut,GL,2022-07-18 23:07:59,61.994,-49.6678,44.94,82,100,1.14
13,Jasper,US,2022-07-18 23:08:00,37.2001,-94.3502,94.23,32,20,9.22
14,Albany,US,2022-07-18 23:04:08,42.6001,-73.9662,77.41,88,100,1.99
15,Jamestown,US,2022-07-18 23:05:45,42.097,-79.2353,74.95,82,100,11.5
16,Goderich,CA,2022-07-18 23:08:00,43.7501,-81.7165,74.91,74,2,0.51
17,Kumluca,TR,2022-07-18 23:08:00,36.3703,30.2869,82.62,45,0,8.61
18,Mount Isa,AU,2022-07-18 23:08:01,-20.7333,139.5,58.77,41,0,6.91
19,Asfi,MA,2022-07-18 23:08:01,32.2994,-9.2372,70.41,83,1,16.6
20,Sandakan,MY,2022-07-18 23:08:02,5.8402,118.1179,75.9,94,100,3.98
21,Tuatapere,NZ,2022-07-18 23:08:02,-46.1333,167.6833,44.71,91,100,5.19
22,Beipiao,CN,2022-07-18 23:08:02,41.7919,120.7792,73.18,62,1,2.39
23,Beringovskiy,RU,2022-07-18 23:08:03,63.05,179.3167,54.12,51,8,23.58
24,Goreloye,RU,2022-07-18 23:08:03,52.937,41.5043,55.49,96,86,11.39
25,Palmer,US,2022-07-18 23:08:03,42.1584,-72.3287,76.51,85,100,3.0
26,Ikungi,TZ,2022-07-18 23:08:04,-5.1333,34.7667,56.39,75,39,9.8
27,Margate,GB,2022-07-18 23:05:31,51.3813,1.3862,75.69,64,38,1.01
28,Airai,TL,2022-07-18 23:08:04,-8.9266,125.4092,54.25,53,93,2.68
29,Souillac,MU,2022-07-18 23:06:28,-20.5167,57.5167,69.15,64,54,21.16
30,Kodiak,US,2022-07-18 23:07:52,57.79,-152.4072,56.71,72,20,5.75
31,North Valley,US,2022-07-18 23:08:05,35.1734,-106.6234,102.13,18,40,8.05
32,Luis Moya,MX,2022-07-18 23:08:05,22.4324,-102.2486,82.47,22,51,7.47
33,Hobart,AU,2022-07-18 23:07:06,-42.8794,147.3294,44.26,85,75,8.05
34,Mount Gambier,AU,2022-07-18 23:05:16,-37.8333,140.7667,37.31,100,100,0.0
35,Hambantota,LK,2022-07-18 23:08:06,6.1241,81.1185,78.31,83,48,13.09
36,Qaanaaq,GL,2022-07-18 23:08:06,77.484,-69.3632,45.12,59,0,5.3
37,Kapaa,US,2022-07-18 23:08:07,22.0752,-159.319,85.98,73,20,20.71
38,Cidreira,BR,2022-07-18 23:08:07,-30.1811,-50.2056,56.79,92,0,3.8
39,Nikolskoye,RU,2022-07-18 23:08:07,59.7035,30.7861,55.8,92,59,4.63
40,Alice Springs,AU,2022-07-18 23:08:08,-23.7,133.8833,49.55,46,68,5.75
41,Torbay,CA,2022-07-18 23:08:08,47.6666,-52.7314,67.53,76,51,12.86
42,Bethel,US,2022-07-18 23:05:53,41.3712,-73.414,76.55,92,100,11.5
43,Plouzane,FR,2022-07-18 23:08:08,48.3833,-4.6167,82.72,45,0,5.75
44,Kruisfontein,ZA,2022-07-18 23:06:59,-34.0033,24.7314,56.88,93,54,2.77
45,La Ronge,CA,2022-07-18 23:08:09,55.1001,-105.2842,73.89,39,35,7.76
46,Helong,CN,2022-07-18 23:08:09,42.5397,128.9972,68.5,89,44,1.5
47,Ocampo,MX,2022-07-18 23:08:09,21.65,-101.5,62.37,62,78,12.08
48,Sharjah,AE,2022-07-18 23:08:04,25.3573,55.4033,96.78,46,0,11.5
49,Waingapu,ID,2022-07-18 23:09:10,-9.6567,120.2641,73.45,79,32,8.03
50,Sabzevar,IR,2022-07-18 23:07:17,36.2126,57.6819,83.12,14,0,11.39
51,Vila Franca Do Campo,PT,2022-07-18 23:09:11,37.7167,-25.4333,72.01,92,35,1.9
52,Naze,JP,2022-07-18 23:09:11,28.3667,129.4833,81.37,85,100,16.44
53,Avarua,CK,2022-07-18 23:09:12,-21.2078,-159.775,77.05,69,75,10.36
54,Bredasdorp,ZA,2022-07-18 23:09:12,-34.5322,20.0403,53.92,86,100,2.08
55,Umtata,ZA,2022-07-18 23:09:13,-31.5889,28.7844,53.04,38,10,4.5
56,Mar Del Plata,AR,2022-07-18 23:07:42,-38.0023,-57.5575,47.08,81,0,5.75
57,Pimentel,PE,2022-07-18 23:09:13,-6.8367,-79.9342,62.89,77,75,14.97
58,Nosy Varika,MG,2022-07-18 23:09:14,-20.5833,48.5333,68.22,86,66,12.82
59,Butaritari,KI,2022-07-18 23:09:14,3.0707,172.7902,82.58,75,10,19.57
60,Khatanga,RU,2022-07-18 23:05:52,71.9667,102.5,53.24,74,100,4.05
61,Chuy,UY,2022-07-18 23:09:15,-33.6971,-53.4616,47.75,82,2,3.0
62,Jumla,NP,2022-07-18 23:09:15,29.2747,82.1838,63.79,93,89,1.54
63,Shingu,JP,2022-07-18 23:09:16,33.7333,135.9833,80.69,85,100,7.83
64,Kambove,CD,2022-07-18 23:09:16,-10.8764,26.5969,55.49,56,7,4.16
65,Bannu,PK,2022-07-18 23:09:16,32.9854,70.6027,92.01,47,0,2.95
66,Mataura,NZ,2022-07-18 23:09:17,-46.1927,168.8643,45.48,95,100,1.61
67,Husavik,IS,2022-07-18 23:09:17,66.0449,-17.3389,50.92,82,82,3.96
68,Hilo,US,2022-07-18 23:07:02,19.7297,-155.09,88.29,72,75,9.22
69,Den Helder,NL,2022-07-18 23:09:18,52.9599,4.7593,71.02,68,19,3.0
70,Ribeira Grande,PT,2022-07-18 23:09:18,38.5167,-28.7,72.43,91,27,6.24
71,Kushima,JP,2022-07-18 23:09:18,31.4583,131.2333,82.17,86,100,11.9
72,Taltal,CL,2022-07-18 23:09:19,-25.4,-70.4833,60.46,71,12,5.08
73,Kavieng,PG,2022-07-18 23:08:31,-2.5744,150.7967,83.53,73,100,12.12
74,Pisco,PE,2022-07-18 23:04:38,-13.7,-76.2167,62.65,77,0,6.91
75,Prachuap Khiri Khan,TH,2022-07-18 23:09:20,12.2167,99.75,75.87,82,59,8.41
76,Richards Bay,ZA,2022-07-18 23:09:21,-28.783,32.0377,66.4,81,0,11.63
77,Bataipora,BR,2022-07-18 23:09:21,-22.2953,-53.2711,70.66,59,98,5.61
78,Katsuura,JP,2022-07-18 23:09:21,35.1333,140.3,80.62,89,100,21.94
79,Lamani,HN,2022-07-18 23:09:22,14.2,-87.6167,76.82,81,85,6.87
80,Santa Isabel Do Para,BR,2022-07-18 23:09:22,-1.2986,-48.1606,76.82,88,89,4.72
81,Vao,NC,2022-07-18 23:09:22,-22.6667,167.4833,72.54,86,99,13.49
82,Sarahan,IN,2022-07-18 23:09:23,31.5167,77.8,65.28,96,58,1.83
83,Norman Wells,CA,2022-07-18 23:07:47,65.282,-126.8329,64.63,79,100,5.23
84,Barrow,US,2022-07-18 23:09:23,71.2906,-156.7887,42.82,81,100,19.57
85,Magadan,RU,2022-07-18 23:09:24,59.5667,150.8,60.53,83,92,7.54
